SOC,Silt,Sand,Clay
13,13,61,26
12,14,53,32
19,17,49,34
12,18,61,21
7,10,67,23
15,18,60,22
11,12,69,20
12,17,59,24
13,13,66,21
10,20,62,18
15,14,61,24
12,14,67,19
12,12,65,24
12,13,63,24
14,18,59,23
16,14,62,24
14,16,57,27
12,11,67,22
12,15,67,18
14,11,65,24
16,17,57,26
17,18,60,22
14,14,57,29
12,15,57,27
13,14,63,22
14,15,62,23
16,16,62,22
16,13,65,21
14,15,62,22
17,15,50,35
15,16,64,20
10,10,66,24
13,17,62,21
9,10,70,19
18,15,65,20
11,11,67,22
12,16,60,24
14,14,65,20
11,14,66,20
15,22,58,20
9,14,67,19
18,18,56,27
12,14,58,28
12,14,64,23
13,18,58,24
16,21,57,22
14,14,61,25
13,12,68,20
12,13,56,32
11,12,66,22
15,16,53,30
11,15,68,17
15,15,62,23
8,12,72,16
13,15,65,21
10,13,66,21
12,13,67,20
11,11,69,20
11,16,44,39
10,16,67,17
11,12,60,27
9,12,70,18
11,11,69,20
11,12,65,23
10,17,64,19
13,15,63,22
12,18,60,22
13,18,58,23
10,13,67,19
15,14,63,22
14,18,59,23
10,14,66,20
15,16,61,23
14,13,61,27
11,12,67,21
13,16,62,22
14,16,60,24
13,9,68,22
13,14,66,21
16,18,48,33
10,11,70,19
13,16,63,21
14,11,66,23
17,18,61,21
13,15,58,27
13,14,61,24
15,16,47,37
10,12,62,26
15,17,62,20
14,15,48,37
11,15,64,21
12,15,66,19
14,15,62,23
11,10,63,27
10,14,57,29
16,14,66,20
12,16,59,25
14,11,63,26
11,14,65,22
14,13,67,20
14,14,61,25
12,11,67,22
16,16,58,26
13,13,56,31
15,17,60,23
14,12,67,21
10,15,65,21
9,12,69,18
9,14,67,20
14,20,57,23
10,14,67,19
10,15,63,21
12,15,63,22
14,16,60,24
13,14,65,21
13,15,62,23
14,15,61,23
12,12,68,19
11,14,63,23
11,11,69,20
10,16,61,23
13,17,60,23
15,16,57,27
14,17,62,21
12,13,64,23
11,12,65,23
10,16,62,22
10,14,65,21
12,17,61,22
14,14,65,21
10,11,64,25
10,11,69,19
14,15,47,38
11,21,57,22
15,12,67,20
11,13,66,21
10,12,67,20
12,10,68,21
12,13,69,18
15,14,49,37
12,18,59,23
16,11,67,23
15,16,64,20
12,12,57,30
14,16,57,27
9,14,62,24
11,19,55,27
15,16,60,24
17,17,59,24
14,14,63,23
10,15,65,19
11,12,68,20
10,10,66,23
12,16,62,22
14,18,56,27
13,15,67,18
10,13,70,17
16,16,60,24
15,15,59,26
16,20,56,24
17,14,67,19
11,14,64,22
16,17,61,22
12,14,63,23
10,13,60,27
14,18,60,23
11,11,65,24
15,14,66,20
13,16,48,35
13,17,61,22
14,14,55,31
12,12,71,18
15,16,60,24
13,18,58,24
12,17,61,22
11,16,62,22
14,17,43,40
13,14,69,16
19,17,58,25
9,12,69,19
13,14,70,16
14,16,62,22
10,12,69,19
12,16,64,20
14,14,64,21
16,16,59,25
13,15,59,26
14,17,62,21
12,12,65,24
12,15,66,20
12,13,72,15
13,14,65,21
12,13,65,21
15,13,66,21
11,11,68,21
7,10,69,21
14,13,55,33
16,17,57,26
15,16,62,22
14,10,66,23
16,18,60,22
10,14,71,15
13,17,58,25
14,12,69,19
14,12,68,21
12,17,60,23
12,11,68,21
12,12,66,22
12,15,64,21
10,14,61,25
12,14,64,22
15,20,54,26
12,16,64,20
8,11,69,20
11,11,74,14
13,13,56,30
12,12,67,22
18,18,59,22
10,14,67,19
15,16,64,20
12,19,59,22
18,20,57,23
14,17,62,21
11,15,66,19
12,16,49,35
10,12,71,17
10,13,61,26
11,15,63,21
13,17,61,22
10,11,64,26
15,20,54,26
14,15,64,21
15,17,49,34
10,10,70,20
13,17,59,24
17,16,62,22
10,14,55,31
12,15,65,20
13,16,63,21
13,12,58,30
12,16,61,23
12,19,44,37
14,19,56,26
11,15,66,19
16,17,60,23
12,15,63,22
20,21,52,27
13,16,66,18
13,17,59,24
12,14,48,39
16,18,60,21
15,15,54,31
11,13,65,22
15,19,59,22
14,16,60,24
8,11,72,18
13,14,61,25
13,16,62,22
14,15,65,20
13,16,62,22
11,12,69,18
15,18,62,20
15,13,55,32
15,14,62,24
14,11,66,23
13,16,52,32
13,14,70,16
11,13,58,29
16,15,63,22
14,13,67,20
10,11,67,22
9,12,67,21
18,16,56,28
9,14,65,21
9,12,66,22
16,15,61,24
15,13,62,24
10,12,65,23
14,18,51,32
14,15,58,27
11,16,56,28
11,14,68,19
14,16,65,19
14,13,59,28
13,14,64,22
17,12,58,30
15,12,69,19
14,13,66,21
13,14,66,20
17,16,61,22
14,14,62,24
10,14,64,23
15,15,61,24
13,17,63,19
15,17,57,26
14,13,55,32
15,16,62,22
16,14,59,26
14,17,61,22
15,14,61,25
13,16,66,18
19,15,57,28
10,16,64,20
13,11,68,21
13,14,63,23
17,18,59,23
12,16,63,21
16,12,68,20
9,14,57,29
14,15,53,32
15,16,64,21
11,14,69,16
17,16,50,34
9,14,69,17
14,17,56,27
14,11,63,26
13,15,63,22
14,20,57,24
10,15,66,19
12,14,64,22
11,14,65,21
19,15,63,22
17,19,60,21
13,16,62,22
13,13,64,23
12,12,58,30
12,13,62,25
9,12,69,19
14,15,61,24
12,18,61,21
13,14,56,30
11,14,66,20
11,15,65,20
11,13,59,27
13,12,62,26
13,13,65,22
11,12,66,22
19,16,62,22
16,13,61,27
15,13,61,26
12,15,63,22
17,19,56,25
13,14,64,22
11,15,64,21
14,13,67,20
9,13,69,18
10,15,55,30
15,13,68,19
15,16,64,20
16,13,51,36
14,14,64,23
11,16,61,23
11,12,67,22
14,13,64,23
13,12,63,24
12,16,62,22
16,14,55,31
12,18,61,21
18,15,59,26
12,17,60,23
10,14,57,29
10,14,58,28
11,15,66,19
10,13,68,19
12,17,59,23
12,12,65,22
12,15,66,19
12,14,66,19
14,13,53,33
11,12,67,21
14,15,62,23
17,21,56,23
12,14,68,19
15,15,60,25
16,16,59,26
10,12,68,20
17,16,55,29
16,14,63,23
13,18,61,22
16,17,60,23
12,12,65,22
16,18,59,23
11,16,66,18
11,11,67,21
13,17,62,21
7,15,64,21
10,16,61,23
11,15,64,21
13,13,67,21
13,15,63,22
13,14,64,22
13,14,62,24
10,12,71,16
12,17,61,22
10,14,51,36
12,14,62,24
12,12,61,27
17,19,55,26
13,14,61,25
11,15,66,19
14,13,67,19
11,15,67,18
17,11,68,21
18,14,61,25
17,12,61,27
9,12,70,18
18,16,43,41
15,16,47,37
13,19,57,24
12,15,65,21
10,13,67,20
15,17,61,22
13,14,66,19
18,17,58,25
20,19,56,25
13,15,53,31
13,15,61,24
18,19,57,24
8,11,67,21
13,13,63,24
12,16,61,23
11,16,61,23
14,15,63,22
14,14,59,27
11,13,53,34
12,16,62,22
13,18,58,24
15,14,61,25
11,14,65,21
15,20,59,22
10,14,64,23
13,16,62,21
11,13,66,21
14,14,60,26
17,18,58,24
13,14,66,20
14,13,66,21
10,14,63,23
12,10,60,30
15,13,68,20
12,15,65,21
15,14,67,19
14,17,58,25
10,14,68,18
16,21,56,23
14,14,60,26
13,14,57,29
16,16,62,22
13,14,64,22
14,16,62,22
13,15,62,23
18,17,60,23
11,16,65,19
14,13,62,24
12,15,64,21
15,11,69,19
14,20,58,22
12,14,67,18
11,15,64,21
14,18,58,24
13,15,55,30
12,16,64,20
15,15,67,17
10,13,61,26
13,12,61,27
12,14,62,23
11,12,64,24
14,21,58,21
14,15,62,23
11,13,65,21
13,17,60,23
13,15,63,22
14,14,65,22
18,15,46,38
13,13,65,22
12,16,63,21
17,17,61,21
11,16,53,30
13,14,63,23
10,14,67,18
10,15,65,21
11,11,70,19
16,15,62,22
12,15,63,22
12,12,64,24
15,15,59,25
14,16,49,34
19,19,57,25
11,15,60,25
14,12,58,30
12,13,69,18
14,13,67,20
14,14,65,20
17,14,64,22
12,14,63,23
18,13,63,24
19,14,64,22
15,14,65,22
10,12,71,16
14,17,63,20
14,18,60,22
20,17,46,38
13,16,65,19
11,16,63,21
16,20,59,21
11,14,68,17
13,16,65,20
16,18,63,19
12,13,65,22
13,15,63,22
16,17,58,25
11,12,63,25
13,13,64,23
17,16,64,21
19,17,59,24
13,15,64,21
12,13,68,19
15,17,60,22
14,13,52,35
17,13,62,26
13,11,69,20
16,16,64,20
13,15,65,21
11,14,65,20
16,14,58,28
13,13,67,20
14,16,63,21
12,16,61,23
15,15,65,20
17,12,60,28
13,13,56,32
16,14,63,23
15,15,67,18
17,17,59,24
12,13,65,22
12,14,59,27
14,13,59,28
12,13,66,21
13,16,48,36
14,14,64,22
8,13,68,19
14,16,57,27
9,13,71,17
13,13,62,25
11,18,63,19
14,15,64,22
12,13,68,20
14,17,59,24
12,16,64,20
12,14,51,35
13,15,67,18
15,17,60,23
11,13,62,25
14,14,51,35
14,17,58,26
14,14,56,30
19,22,53,25
12,16,64,20
12,14,67,20
12,13,63,24
13,11,65,24
17,14,59,27
8,10,74,16
14,18,59,23
18,19,58,22
19,15,52,33
10,11,65,24
16,14,65,22
18,13,65,22
11,14,64,23
10,14,67,19
13,13,67,20
14,13,65,22
11,14,63,23
12,12,60,28
14,22,42,36
13,16,65,20
14,12,62,26
18,18,58,24
14,13,66,21
13,16,62,22
13,14,66,20
9,16,63,21
13,17,48,35
12,12,65,23
9,16,62,21
11,14,65,22
11,14,69,17
10,14,68,18
12,17,64,19
13,19,58,23
10,14,68,18
11,11,67,22
16,16,61,22
13,14,64,21
18,13,67,19
14,17,64,20
13,15,62,23
13,17,61,22
14,15,59,26
10,15,64,21
13,13,68,19
18,14,47,39
14,13,66,21
16,16,60,24
17,15,49,35
11,13,61,26
12,13,72,16
13,14,60,27
13,16,49,35
13,14,49,37
18,22,55,23
13,18,60,22
11,15,66,19
13,13,63,24
15,12,66,22
9,14,69,17
11,16,62,22
16,18,48,34
13,12,65,23
13,14,61,25
10,13,65,22
10,13,72,15
11,15,65,21
14,15,62,23
14,15,60,25
13,11,68,21
13,16,65,19
15,18,63,20
13,15,67,17
14,16,57,27
9,16,65,18
13,15,48,37
13,15,67,19
12,17,47,35
12,12,67,21
14,16,52,32
16,14,63,23
10,16,66,18
12,12,59,29
12,15,57,28
8,13,63,23
17,15,47,38
11,13,61,26
12,13,69,19
14,12,67,20
16,17,60,23
12,12,67,21
12,15,64,21
12,10,65,25
11,16,46,39
15,16,64,21
18,18,62,21
12,15,66,19
13,12,65,22
13,18,63,20
16,17,60,23
11,17,64,19
12,16,65,19
16,18,59,23
13,16,46,39
11,15,67,18
10,13,65,22
13,13,71,15
13,16,46,38
10,14,70,16
13,11,67,22
17,21,55,24
14,15,53,32
17,21,55,24
9,10,72,18
10,12,67,21
17,17,64,19
11,13,56,31
12,14,61,25
13,14,62,24
15,14,64,22
9,13,64,23
14,14,67,18
15,15,62,23
14,16,61,23
15,12,64,24
15,14,60,26
12,13,66,21
12,17,62,21
12,13,68,19
10,14,63,23
13,15,66,20
15,16,62,22
13,16,61,23
13,13,66,21
17,15,51,34
14,12,65,23
11,14,49,38
13,17,65,19
14,9,70,21
12,16,66,18
13,13,57,30
14,15,64,21
18,13,61,26
14,18,60,23
15,18,57,25
13,15,62,23
14,14,66,20
9,11,69,20
13,13,62,25
14,15,67,18
11,15,58,27
12,16,65,19
10,15,67,18
17,15,63,22
9,12,70,18
14,15,62,23
16,18,56,26
11,14,66,20
14,18,61,22
17,20,53,27
13,14,67,19
13,14,46,39
16,18,59,23
11,14,61,24
11,10,61,29
11,19,62,19
14,10,62,28
9,14,64,22
14,16,67,16
14,12,67,22
14,15,66,20
10,14,68,18
11,12,68,19
11,15,64,21
15,19,59,22
12,14,67,19
12,13,54,33
10,11,61,28
12,13,64,22
13,10,69,21
15,15,66,19
13,14,68,19
14,14,63,22
9,12,71,18
14,13,64,22
14,16,64,21
14,15,61,24
12,17,65,18
11,13,65,22
12,12,65,23
13,14,66,21
11,13,65,22
9,11,70,19
13,14,63,23
16,18,63,20
14,11,56,33
16,19,45,36
17,20,57,23
13,11,60,29
14,11,67,22
9,12,66,22
17,17,47,36
15,12,64,24
13,15,59,26
14,13,62,24
12,15,62,23
17,16,62,22
11,16,67,17
11,12,69,19
15,20,56,24
17,20,57,22
11,11,57,32
12,11,67,22
16,14,68,18
14,15,62,23
12,15,67,18
9,12,67,21
15,15,60,26
12,12,53,35
11,12,66,22
12,19,56,25
12,15,63,22
16,10,67,23
12,17,61,22
10,11,66,23
12,14,66,20
12,14,63,23
13,16,62,21
14,13,61,26
13,15,62,23
14,13,63,24
11,12,61,27
13,16,65,19
17,21,56,23
11,13,67,20
10,18,65,17
12,12,73,15
11,12,66,22
13,12,61,26
11,13,68,19
14,15,62,23
17,23,53,25
12,14,63,23
9,12,71,17
12,16,62,22
10,13,67,20
15,18,58,24
15,15,66,20
13,14,65,21
10,12,65,23
10,14,69,18
17,15,51,34
14,13,65,22
17,14,64,22
14,14,52,35
19,15,63,22
12,13,66,22
16,14,59,27
18,18,64,19
14,15,61,24
12,11,67,21
19,14,61,25
12,13,67,20
13,14,67,19
12,13,54,33
11,15,62,23
12,15,64,21
13,13,57,30
14,16,46,39
11,11,68,20
14,16,61,23
10,16,61,23
16,14,62,24
13,16,58,26
15,15,65,21
10,12,70,18
15,15,62,23
12,13,57,30
11,14,66,19
13,17,63,20
14,12,63,24
13,12,55,33
14,14,65,21
16,16,60,23
14,13,64,22
17,14,63,23
15,12,59,29
12,15,60,25
11,12,69,18
15,18,61,20
12,14,64,22
14,15,61,24
10,13,68,19
14,16,63,21
14,15,57,28
15,15,59,26
13,16,60,23
14,17,62,21
13,13,66,21
14,12,66,23
16,19,58,22
12,14,63,23
14,16,63,20
8,13,67,19
13,13,65,23
17,15,48,36
12,13,58,29
12,14,63,23
13,16,48,35
11,12,66,21
15,13,62,25
13,12,62,25
13,12,55,33
16,14,63,23
13,16,63,21
14,16,62,22
14,14,66,20
12,12,67,20
11,12,69,19
18,14,62,24
12,15,67,18
15,17,61,22
15,13,53,34
15,13,68,19
13,11,69,20
14,15,65,20
13,15,65,20
14,18,60,22
14,14,63,23
15,15,51,34
12,12,62,26
17,15,60,25
14,13,54,33
11,14,65,21
12,14,66,20
14,18,58,24
11,17,62,21
14,14,66,20
14,14,62,23
10,16,64,19
12,17,62,21
16,16,61,23
14,12,62,26
12,15,64,21
12,12,65,23
17,15,60,25
14,14,64,22
16,14,55,31
16,15,61,24
15,14,60,26
11,16,60,24
13,12,66,22
11,15,67,17
15,12,56,31
13,14,67,19
14,16,55,29
11,12,65,23
12,15,64,21
16,16,58,26
15,14,63,23
16,19,55,26
13,16,63,21
12,14,62,24
15,14,59,28
15,20,59,22
15,17,60,23
15,18,52,31
13,15,63,22
9,14,66,20
12,12,68,20
14,13,58,29
12,15,53,32
14,13,61,26
12,13,67,21
15,14,65,20
15,18,58,24
11,13,66,21
13,17,60,23
17,12,63,25
9,14,68,18
17,15,63,22
9,17,64,19
15,18,43,39
14,16,61,23
10,14,67,19
11,14,65,21
8,13,66,21
17,22,54,24
13,13,66,21
13,14,65,22
8,11,70,20
10,18,58,24
18,19,50,31
12,14,49,37
13,15,65,19
20,18,52,30
11,14,62,24
16,15,63,22
14,13,63,24
12,18,42,40
19,18,50,32
9,14,61,25
13,14,62,23
16,15,52,33
13,16,59,24
14,14,63,23
12,14,66,20
13,16,62,22
17,13,51,36
13,16,62,22
12,13,67,20
13,15,62,23
11,12,66,22
11,17,63,20
15,18,56,26
13,14,55,31
9,15,60,25
17,13,58,29
13,13,68,19
13,14,69,17
15,15,60,26
13,20,47,33
15,15,63,22
17,14,67,19
14,16,62,22
14,14,68,18
11,17,56,27
10,15,64,22
15,16,64,20
12,14,65,22
8,9,68,23
12,14,63,23
13,16,65,19
14,15,60,25
12,18,59,23
14,16,62,22
12,11,70,20
11,9,68,22
14,17,60,23
9,11,66,23
15,17,45,38
12,18,62,21
16,18,59,23
16,19,60,21
10,13,68,19
13,17,58,25
14,16,52,32
12,12,59,29
13,15,59,26
12,13,64,23
14,15,62,22
14,12,62,26
14,18,60,23
14,15,65,21
15,18,61,21
11,15,66,18
17,18,45,37
16,19,61,19
15,19,52,29
11,14,67,19
14,17,61,22
10,17,62,21
15,17,48,34
12,16,63,21
12,13,63,24
15,14,64,22
17,19,55,26
12,14,66,20
12,16,51,33
12,12,70,18
11,17,64,19
14,12,65,23
13,16,60,24
14,12,52,36
15,13,61,26
13,17,63,20
15,15,56,29
17,17,50,33
12,17,62,20
8,16,61,24
11,15,67,19
11,12,68,20
12,16,61,23
11,14,58,28
14,15,54,31
11,11,68,21
10,11,67,22
15,17,62,21
12,14,66,20
12,15,62,23
11,12,68,20
12,15,65,19
13,13,61,26
10,14,65,21
13,16,65,19
11,14,62,24
13,15,62,23
11,14,67,20
11,12,65,23
12,17,64,20
16,14,66,19
14,18,57,25
14,13,54,33
12,17,60,23
12,14,66,20
12,14,62,24
12,9,69,21
15,13,64,23
10,10,71,20
14,16,61,23
14,16,60,23
15,16,50,35
11,16,49,35
13,15,51,34
12,14,55,30
13,12,60,28
10,13,68,19
11,17,67,17
12,15,63,21
13,19,60,21
13,15,49,36
11,14,48,37
13,13,63,23
17,16,49,34
11,15,62,23
14,17,61,21
10,12,56,32
12,12,70,18
15,14,53,33
14,11,67,22
16,16,59,25
10,19,59,22
11,13,66,21
14,18,60,22
19,18,59,23
11,12,65,23
8,15,66,19
15,13,60,27
14,14,62,23
12,12,71,17
13,16,63,21
15,11,54,35
12,15,63,22
13,10,60,30
12,16,65,19
15,18,59,23
15,14,62,24
16,14,61,25
13,17,59,24
15,12,64,24
14,13,67,19
10,12,71,17
15,11,67,22
14,15,57,28
15,11,69,19
8,10,67,23
19,17,60,23
14,14,65,21
13,12,59,29
11,17,63,20
13,12,67,21
15,15,65,20
12,18,59,23
17,12,59,29
12,12,61,27
12,15,65,20
16,15,64,22
13,17,59,24
14,16,57,28
17,13,61,26
15,15,61,24
12,14,67,19
14,13,62,25
12,15,68,17
17,16,51,33
10,16,63,20
10,14,67,18
11,15,66,19
14,10,64,26
13,12,67,21
14,15,57,27
13,16,53,31
12,19,59,22
15,15,60,25
17,17,44,39
8,12,55,33
12,16,62,22
16,15,59,26
11,16,63,22
16,17,62,20
12,10,72,18
11,14,64,21
13,12,63,24
14,18,60,22
13,15,59,26
15,14,65,21
15,18,55,26
15,13,66,22
11,12,66,22
13,14,66,20
12,11,64,25
13,12,67,21
10,13,55,31
15,15,61,24
15,19,51,30
13,16,62,22
14,14,65,21
11,15,66,19
12,12,67,20
13,14,52,34
11,14,67,19
12,14,66,21
13,16,68,16
17,14,65,22
10,11,65,24
14,17,64,20
13,17,57,26
13,15,52,33
13,15,62,23
14,14,57,29
10,14,70,17
13,12,55,33
10,9,73,18
12,16,62,21
9,14,68,18
11,13,67,20
13,18,60,22
17,15,62,23
12,13,67,20
14,15,49,36
14,11,66,23
11,14,65,21
17,15,64,21
17,17,43,40
17,16,61,23
13,15,64,21
15,12,64,24
20,17,47,36
10,15,68,16
8,14,67,19
14,15,61,24
14,13,64,23
11,15,60,25
12,15,67,18
12,14,65,21
13,12,68,20
13,17,60,22
12,16,62,22
12,12,51,36
11,13,72,16
12,13,55,32
11,12,55,33
13,14,66,20
12,16,65,19
14,12,68,20
10,12,58,30
15,15,64,21
13,14,61,25
12,14,66,20
16,15,58,27
16,14,62,24
18,16,60,24
13,12,66,22
11,14,63,23
11,15,49,36
12,17,64,19
15,12,62,26
13,14,58,28
15,11,64,25
12,15,63,22
15,16,64,19
11,13,66,21
13,14,63,23
14,15,64,21
10,16,48,36
10,18,65,18
12,16,60,24
13,11,69,20
12,16,60,24
11,16,65,19
17,21,52,27
14,15,53,32
13,18,61,22
12,16,51,33
15,16,49,35
13,16,64,19
13,14,56,30
15,15,64,22
14,15,62,23
16,14,65,21
13,13,63,24
14,13,56,31
17,16,61,23
14,13,67,19
13,13,64,23
13,16,62,22
14,16,68,16
15,16,61,23
14,16,60,24
10,8,73,19
11,14,61,25
19,19,56,24
15,13,64,23
18,15,60,25
14,16,61,23
14,18,61,21
14,12,58,30
13,16,52,32
14,13,62,25
14,13,61,26
12,14,61,26
13,18,60,22
15,16,60,24
14,11,68,21
10,15,65,20
18,16,61,22
12,14,60,27
14,14,62,24
9,11,64,25
13,13,65,22
12,11,67,22
13,15,58,27
11,12,72,17
20,16,52,32
15,14,62,23
15,14,64,21
